OCOD3,SENWT,CNTSCHID,BSMJ,ST001D01T,GCSELFEFF,PV8RTSN,PV10RCER,MASTGOAL,PV4RCER,GCAWARE,PV4RTML,PV10RTSN,PV4RCLI,PV1RCER,PV7RCUN,PV1RTML,PV3RCUN,PV5RTSN,PV6RTSN,PV8RTML,PV3RCER,PV9RCLI,PV8RCLI,PV9MATH,PV6RTML,PV9READ,PV8RCUN,PV3READ,PV3RTSN,PV2RTSN,PV1GLCM,PV7RCER,PV8RCER,PV9RTSN,PV10RTML,PV6RCER,PV5RCUN,PV10RCLI,PV7RTML,Score_pond
2130.0,0.12444,72400534.0,80.46,10.0,0.9128,467.952,513.91,0.2342,457.705,0.9153,455.169,477.626,466.032,508.052,516.281,447.191,494.87,455.02,461.121,495.597,438.962,467.682,453.349,558.689,455.339,460.859,474.215,443.49,504.178,508.209,461.106,471.127,469.861,490.395,473.893,463.704,555.316,525.201,493.59,1255.5457540934517
2211.0,0.06087,72400529.0,88.7,10.0,-0.6225,519.265,546.302,-0.2151,520.803,-1.1947,535.474,525.516,476.422,498.132,535.878,524.69,510.96,534.279,559.011,539.805,510.72,515.513,529.449,548.758,519.814,535.767,536.701,528.064,517.337,532.0,609.648,540.085,569.147,549.886,571.559,584.978,520.148,526.505,529.596,1388.3270888519005
2634.0,0.05893,72400550.0,85.85,9.0,0.846,413.196,388.437,1.8524,484.172,1.5738,435.838,393.432,420.539,390.945,386.055,434.539,440.066,430.352,438.547,461.198,463.178,430.138,407.465,491.137,474.547,423.358,407.916,385.349,445.437,438.981,452.614,400.264,416.342,400.333,426.686,462.806,410.126,411.008,467.593,1153.7961594343356
2152.0,0.10791,72400598.0,80.75,10.0,-0.078,532.061,598.709,0.5761,621.038,-0.428,569.766,572.28,547.639,619.382,560.37,506.512,565.402,572.443,541.582,538.669,605.172,561.557,504.946,643.923,541.837,555.711,551.454,528.634,556.151,534.183,629.974,587.017,589.069,551.41,552.101,596.199,578.971,596.415,578.681,1466.4615936672317
2131.0,0.11358,72400090.0,80.46,10.0,1.1721,515.688,483.883,-1.7872,536.33,0.5061,565.487,513.435,487.677,516.824,492.613,507.013,469.837,504.737,503.672,549.624,514.058,498.982,508.081,537.413,531.942,479.743,517.177,498.145,496.123,471.269,558.331,521.937,527.588,518.116,493.489,510.122,520.178,464.329,527.724,1327.1071448043183
2330.0,0.27924,72400418.0,82.41,10.0,0.7711,556.488,488.279,0.1447,532.269,-0.6877,586.587,526.124,496.848,563.015,555.78,536.545,498.178,517.451,512.412,543.32,492.503,498.518,512.388,451.716,555.391,548.068,559.505,550.843,497.79,516.643,508.222,529.412,542.148,535.589,536.312,584.647,557.173,555.961,525.735,1383.0350852137008
2211.0,0.04089,72400921.0,88.7,10.0,0.1904,454.894,459.537,1.8524,442.929,-0.9633,428.914,443.741,438.1,411.102,442.193,440.139,400.859,435.475,466.449,423.24,446.241,433.403,382.974,461.695,471.334,440.284,394.237,427.088,430.974,384.205,478.187,443.213,411.721,438.75,443.753,442.608,461.189,419.21,445.898,1151.7887264324463
2261.0,0.04089,72400437.0,88.31,10.0,0.6899,488.836,543.737,-0.4347,462.415,0.1562,536.427,500.227,492.031,577.34,510.912,544.083,527.802,501.682,514.622,580.712,586.071,525.696,569.857,543.927,510.985,520.839,542.664,543.763,549.79,519.786,528.65,524.907,530.693,532.141,531.358,492.668,524.902,480.93,564.22,1375.8128987212408
2153.0,0.11374,72400692.0,80.75,10.0,0.0074,610.275,600.428,-0.3507,557.479,0.1562,617.188,541.808,532.779,564.291,573.76,539.679,596.719,566.639,577.194,593.173,604.946,521.503,523.401,623.988,584.85,565.552,563.655,580.139,556.642,616.602,549.537,575.556,549.494,543.501,582.644,590.545,599.285,559.589,572.654,1477.504396734928
2342.0,0.04089,72400922.0,58.77,10.0,-0.3914,449.268,454.525,0.0217,455.544,0.1795,476.564,453.306,449.628,465.114,455.226,481.71,454.91,435.0,427.347,499.395,436.027,436.296,491.944,426.185,468.184,476.131,485.891,438.42,404.081,461.503,435.917,400.48,498.149,447.809,494.918,427.693,456.001,448.695,446.843,1198.1950248591318
9999.0,0.12068,72400316.0,68.29148356952543,10.0,-0.0083,442.283,411.846,0.5761,463.45,-0.0549,461.19,426.605,444.133,522.383,470.238,480.123,470.629,446.498,436.167,429.536,496.593,446.062,414.193,431.989,437.731,456.188,441.236,450.939,420.924,426.192,474.37,458.898,462.116,465.514,482.81,429.312,447.603,413.258,455.647,1508.00165057028
